Spirulina platensis
Spodoptera frugiperda
Spodoptera littoralis npv
Sporobolomyces salmonicolor
Sporosarcina halophila
Sporosarcina ureae
Squalus acanthias
Squalus suckleyi
Squalus sucklii
Staphylococcus aureus
Staphylococcus aureus subsp. aureus col
Staphylococcus aureus subsp. aureus mrsa252
Staphylococcus aureus subsp. aureus mw2
Staphylococcus aureus subsp. aureus nctc 8325
Staphylococcus carnosus
Staphylococcus epidermidis
Staphylococcus gallinarum
Staphylococcus hyicus
Staphylococcus saprophyticus
Staphylococcus xylosus
Stichopus japonicus
Strawberry mottle virus
Streptococcus agalactiae
Streptococcus agalactiae serogroup ia
